Time/Node,192.168.240.1,192.168.240.3,192.168.240.4,192.168.240.5,192.168.240.7,192.168.240.10,192.168.240.11,192.168.240.12
Wed Dec 04 16:22:43 ART 2013,2588816,1689284,1831316,1821688,2173440,2276212,2357280,2308876
Wed Dec 04 16:22:45 ART 2013,2590956,1700356,1837620,1824060,2176216,2307880,2363076,2318984
Wed Dec 04 16:22:47 ART 2013,3447852,1960932,2172204,2102900,3102096,3285400,3196712,3277240
Wed Dec 04 16:22:49 ART 2013,3601928,2441232,2802336,2789132,3102384,3288388,3209160,3264032
Wed Dec 04 16:22:51 ART 2013,3604492,2362892,2937444,2789448,3103868,3367920,3022036,3265124
Wed Dec 04 16:22:53 ART 2013,3756300,2363556,2957308,2870580,3103648,3368124,3023232,3425164
Wed Dec 04 16:22:55 ART 2013,3759412,2363508,3120476,2870208,3104096,3369252,3089240,3425172
Wed Dec 04 16:22:57 ART 2013,3760212,2363456,3490680,2870504,3103960,3368368,3089132,3424796
Wed Dec 04 16:22:59 ART 2013,3858040,2364236,3490080,2870024,3104312,3446356,3089576,3426108
Wed Dec 04 16:23:01 ART 2013,3857560,2429280,3575540,2869812,3155096,3485180,3272432,3539876
Wed Dec 04 16:23:03 ART 2013,3619424,2516420,3634876,2960736,2999964,3611696,3274740,3630336
Wed Dec 04 16:23:05 ART 2013,3773572,2578944,3640192,2928912,3129524,3592144,3488384,3638420
Wed Dec 04 16:23:07 ART 2013,3774192,2749764,3644928,3078376,3294348,3632140,3489300,3793752
Wed Dec 04 16:23:09 ART 2013,3830496,2865740,4019276,3103108,3295160,3812964,3671876,3794052
Wed Dec 04 16:23:11 ART 2013,4549352,4038588,4020884,3432828,3633116,3831976,3680620,3853376
Wed Dec 04 16:23:13 ART 2013,5084324,4038588,4238776,3937496,3633116,3877588,3683028,3853248
Wed Dec 04 16:23:15 ART 2013,5311312,4547404,5176920,5034872,4342776,4169224,4132052,3854044
Wed Dec 04 16:23:17 ART 2013,6297720,5387152,6242640,5247824,4993396,5051172,4626056,5320536
Wed Dec 04 16:23:19 ART 2013,6297720,5387152,6242640,5247824,4993396,5051048,4626056,5320592
Wed Dec 04 16:23:21 ART 2013,6299240,4237792,6242276,5457784,5860256,5153836,6996688,6706972
Wed Dec 04 16:23:24 ART 2013,6299172,4238972,6242276,5457508,5007872,5153836,6998308,6706972
Wed Dec 04 16:23:26 ART 2013,5238608,4237604,6271256,5457420,5007744,7937012,7395584,6709676
Wed Dec 04 16:23:28 ART 2013,5237424,4308404,6270928,4575308,5008764,7938076,7395876,5620036
Wed Dec 04 16:23:30 ART 2013,5424772,4308812,6270928,4576168,5009508,7087196,7396152,5620428
Wed Dec 04 16:23:32 ART 2013,5426220,4308568,6270512,4575100,5009328,7086856,7592528,5789940
Wed Dec 04 16:23:34 ART 2013,5427468,4368252,5321968,4575304,5079468,7090352,7593236,5790052
Wed Dec 04 16:23:36 ART 2013,5427392,4368072,5320804,4576368,5200736,7392452,7692016,5790456
Wed Dec 04 16:23:38 ART 2013,5427052,4367656,5321284,4575072,5200696,7391464,7691468,5790028
Wed Dec 04 16:23:40 ART 2013,5438576,4367736,5321496,4576512,5292804,7391884,7691644,5790276
Wed Dec 04 16:23:42 ART 2013,5440212,4368148,5321860,4577788,5292512,7435268,7848120,5811308
Wed Dec 04 16:23:44 ART 2013,5439292,4367512,5320992,4618848,5293692,7619156,7847648,5812432
Wed Dec 04 16:23:46 ART 2013,5439224,4367900,5320580,4619744,5292932,7619180,8040932,5850444
Wed Dec 04 16:23:48 ART 2013,5588300,4368080,5321128,4672848,5509004,7632076,8039984,5852724
Wed Dec 04 16:23:50 ART 2013,5587648,4368364,5329668,4674096,5510212,8026720,8068000,6041880
Wed Dec 04 16:23:52 ART 2013,5617480,4416268,5329512,4673756,5510772,8026180,8067460,6039876
Wed Dec 04 16:23:54 ART 2013,5617732,4415820,5329448,4674396,5511120,8025328,8067308,6040484
Wed Dec 04 16:23:56 ART 2013,5617648,4416580,5329564,4673548,5587232,8048992,8175780,6188384
Wed Dec 04 16:23:58 ART 2013,5627648,4415932,5336288,4674280,5588488,8193972,8176424,6188252
Wed Dec 04 16:24:00 ART 2013,5628160,4416744,5336024,4675840,5588532,8194632,8328076,6187700
Wed Dec 04 16:24:02 ART 2013,5627716,4416524,5336348,4743228,5590420,8194128,8327992,6339224
Wed Dec 04 16:24:04 ART 2013,5627256,4417016,5336164,4744160,5588944,8215528,8327916,6339508
Wed Dec 04 16:24:06 ART 2013,5626680,4417052,5360072,4743472,5588940,8214228,8457824,6339028
Wed Dec 04 16:24:08 ART 2013,5627764,4417084,5361300,4743640,5589660,8214164,8458056,6338948
Wed Dec 04 16:24:10 ART 2013,5627540,4417512,5360876,4744928,5588808,8213784,8457572,6339544
Wed Dec 04 16:24:12 ART 2013,5627652,4417560,5361220,4744924,5589056,8214312,8457656,6339480
Wed Dec 04 16:24:14 ART 2013,5627988,4416888,5361520,4743820,5589276,8213780,8477416,6339036
Wed Dec 04 16:24:16 ART 2013,5628448,4417112,5361444,4744424,5589928,8214848,8477316,6339448
Wed Dec 04 16:24:18 ART 2013,5628040,4417612,5361372,4744392,5589832,8318692,8477236,6339552
Wed Dec 04 16:24:20 ART 2013,5628428,4417808,5361220,4744636,5589972,8318916,8477740,6339060
Wed Dec 04 16:24:22 ART 2013,5628100,4417156,5361472,4744408,5590656,8318752,8477288,6339320
Wed Dec 04 16:24:24 ART 2013,5628968,4417332,5361828,4745036,5590288,8318916,8477644,6339740
Wed Dec 04 16:24:26 ART 2013,5628376,4417476,5522716,4758612,5589468,8318852,8477288,6339224
Wed Dec 04 16:24:28 ART 2013,5627884,4417316,5522948,4758608,5589124,8319020,8477164,6338812
Wed Dec 04 16:24:30 ART 2013,5627724,4416848,5521260,4758992,5588824,8321888,8477244,6338432
Wed Dec 04 16:24:32 ART 2013,5628544,4417028,5522680,4758852,5589816,8320112,8477392,6339268
Wed Dec 04 16:24:34 ART 2013,5627928,4417356,5522056,4759276,5589144,8320176,8478048,6341720
Wed Dec 04 16:25:50 ART 2013,2586656,1695252,1832508,1820960,2164996,2278916,2356976,2310028
Wed Dec 04 16:25:52 ART 2013,2589160,1705724,1837088,1825556,2176120,2322040,2380728,2349164
Wed Dec 04 16:25:54 ART 2013,2944492,2803848,2151948,2309204,3109432,3301716,3199472,3304480
Wed Dec 04 16:25:56 ART 2013,3610808,2803160,2816744,2564764,3109872,3303912,3209988,3306272
Wed Dec 04 16:25:58 ART 2013,3610332,2803076,2814604,2694580,3111260,3135288,3021656,3421724
Wed Dec 04 16:26:00 ART 2013,3762376,2821304,2938704,2694468,3111452,3135244,3023352,3552772
Wed Dec 04 16:26:02 ART 2013,3763212,2820928,2938696,2694420,3111608,3136504,3024788,3553672
Wed Dec 04 16:26:04 ART 2013,3858132,2821252,2939048,2693800,3110724,3137268,3090276,3745872
Wed Dec 04 16:26:06 ART 2013,3859896,2821352,2937984,2695132,3110708,3138464,3090164,4340636
Wed Dec 04 16:26:08 ART 2013,3889660,2889124,3052248,2803536,2765504,3163312,3268532,4568936
Wed Dec 04 16:26:10 ART 2013,3594308,2632768,2907120,2807580,2870688,3425808,3277196,4572572
Wed Dec 04 16:26:12 ART 2013,3758888,2726012,2914600,2812072,2986980,3434092,3496104,4579980
Wed Dec 04 16:26:14 ART 2013,3759828,2810932,3066400,2986208,3352032,3459748,3496580,4609688
Wed Dec 04 16:26:16 ART 2013,3808864,2951252,3143820,2987268,3352868,3655252,3688844,4898948
Wed Dec 04 16:26:18 ART 2013,4199396,3200540,3500496,3539976,3781024,3667308,3691484,4899900
Wed Dec 04 16:26:20 ART 2013,4933324,4076840,3548632,3893968,4365024,4041420,3692820,4905580
Wed Dec 04 16:26:22 ART 2013,5500304,4784816,4266936,5149552,4932584,4044372,4149592,4943880
Wed Dec 04 16:26:24 ART 2013,6362576,4782684,5314636,5182988,6073700,4511528,4604988,5304652
Wed Dec 04 16:26:28 ART 2013,6363412,5067620,5622408,5182600,6073720,5829600,5407552,8110820
Wed Dec 04 16:26:30 ART 2013,5223932,5219760,5621512,4598192,6092308,5830984,6996712,8111452
Wed Dec 04 16:26:32 ART 2013,5225324,5219760,5621512,4598192,6092308,8432492,7393256,8111452
